Date,Gold,SP500,BCA,Telkom,Bitcoin
2021-01-04,6028.37451171875,182.3300018310547,343.3191223144531,2687.039306640625,31971.9140625
2021-01-05,6253.2802734375,182.8699951171875,345.6836853027344,2671.640869140625,33992.4296875
2021-01-06,6125.3935546875,179.89999389648438,347.75042724609375,2594.64794921875,36824.36328125
2021-01-07,6143.03271484375,179.47999572753906,352.9170837402344,2610.046630859375,39371.04296875
2021-01-08,6218.001953125,173.33999633789062,354.9279479980469,2748.63330078125,40797.609375
2021-01-11,6478.1875,173.0,352.535400390625,2771.730712890625,35566.65625
2021-01-12,6315.02001953125,174.1199951171875,352.60980224609375,2702.437744140625,33922.9609375
2021-01-13,6279.7412109375,173.3699951171875,353.5593566894531,2679.33984375,37316.359375
2021-01-14,6191.54150390625,173.27999877929688,352.3212585449219,2694.73828125,39187.328125
2021-01-15,6134.21337890625,171.1300048828125,349.7518005371094,2679.33984375,36825.3671875
2021-01-19,6257.69091796875,172.5800018310547,352.49810791015625,2625.445068359375,36069.8046875
2021-01-20,6257.69091796875,175.38999938964844,357.376220703125,2671.640869140625,35547.75
2021-01-21,6240.05126953125,175.27999877929688,357.70208740234375,2679.33984375,30825.69921875
2021-01-22,6244.4609375,173.89999389648438,356.43597412109375,2610.046630859375,33005.76171875
2021-01-25,6204.7724609375,174.0500030517578,357.84173583984375,2594.64794921875,32366.392578125
2021-01-26,6015.14453125,173.6199951171875,357.28314208984375,2509.956298828125,32569.849609375
2021-01-27,5988.685546875,172.52000427246094,348.5509948730469,2602.34765625,30432.546875
2021-01-28,6085.70361328125,172.67999267578125,351.54852294921875,2494.55810546875,33466.09765625
2021-01-29,5962.22509765625,172.61000061035156,344.51068115234375,2394.46728515625,34316.38671875
2021-02-01,6015.14453125,174.22999572753906,350.2452697753906,2486.85888671875,33537.17578125
2021-02-02,5997.50537109375,172.11000061035156,355.1978759765625,2517.655517578125,35510.2890625
2021-02-03,6019.55517578125,171.85000610351562,355.4771423339844,2494.55810546875,37472.08984375
2021-02-04,6046.013671875,168.14999389648438,359.5173645019531,2533.054443359375,36926.06640625
2021-02-05,6098.93359375,169.80999755859375,360.932373046875,2533.054443359375,38144.30859375
